Surah,Ayah,Tags,Category,Emotion,Context
2,34,"Tawheed, Prophethood, Humility, Disbelief, Accountability, Power, Angels, Prophets, Lessons from history","Faith (Aqeedah), History & Stories (Qasas al-Anbiya), Divine Attributes & Signs (Asma wa Sifat)","Awe, Anger at Injustice","Historical story, Moral teaching context"
2,35,"Heaven, Family, Marriage, Punishment, Disbelief, Guidance, Misguidance, Prophets, Reward, Accountability","History & Stories (Qasas al-Anbiya), Ethics & Morality (Akhlaq), Eschatology (Akhirah)","Fear, Hope","Historical story, Moral teaching context, Eschatological context"
2,36,"Misguidance, Punishment, Hell, Prophets, Family, Lessons from history, Accountability, Heaven, Disbelief","History & Stories (Qasas al-Anbiya), Eschatology (Akhirah), Ethics & Morality (Akhlaq)","Fear, Sadness","Historical story, Moral teaching context, Eschatological context"
2,37,"Revelation, Forgiveness, Repentance, Mercy, Tawheed, Prophethood","History & Stories (Qasas al-Anbiya), Divine Attributes & Signs (Asma wa Sifat)","Repentance, Comfort, Hope","Historical story, Moral teaching context, Spiritual reminder"
2,38,"Guidance, Misguidance, Reward, Punishment, Fear, Hope, Prophethood, Heaven, Hell, Accountability","Eschatology (Akhirah), Faith (Aqeedah), Moral teaching context","Hope, Fear, Comfort","Historical story, Eschatological context, Moral teaching context"
2,39,"Disbelief, Hell, Punishment, Resurrection, Accountability, Faith","Eschatology (Akhirah), Faith (Aqeedah)",Fear,"Eschatological context, Moral teaching context"
2,40,"Gratitude, Accountability, Fear, Covenant, Prophets, Lessons from history, Mercy, Nations","Faith (Aqeedah), Ethics & Morality (Akhlaq), History & Stories (Qasas al-Anbiya)","Fear, Gratitude","Spiritual reminder, Moral teaching context, Historical story"
2,41,"Tawheed, Revelation, Faith, Disbelief, Prophethood, Accountability, Fear","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)",Fear,"Spiritual reminder, Law-giving context"
2,42,"Honesty, Justice, Knowledge",Ethics & Morality (Akhlaq),Anger at Injustice,Moral teaching context
2,43,"Prayer, Zakat, Humility",Worship (‘Ibadah)’,"Hope, Determination",Worship guidance
2,44,"Hypocrisy, Kindness, Justice, Knowledge, Guidance, Misguidance",Ethics & Morality (Akhlaq),"Anger at Injustice, Sadness",Moral teaching context
2,45,"Prayer, Patience","Worship (‘Ibadah)', Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Patience,"Worship guidance, Spiritual reminder"
2,46,"Faith, Resurrection, Accountability, Hope, Fear","Faith (Aqeedah), Eschatology (Akhirah)","Hope, Fear","Eschatological context, Spiritual reminder"
2,47,"Gratitude, Nations, Prophets, Lessons from history, Mercy, Power, Kindness","History & Stories (Qasas al-Anbiya), Divine Attributes & Signs (Asma wa Sifat)",Gratitude,"Historical story, Spiritual reminder, Moral teaching context"
2,48,"Accountability, Resurrection, Punishment, Fear, Justice, Intercession",Eschatology (Akhirah),Fear,"Eschatological context, Moral teaching context"
2,49,"Lessons from history, Punishment, Mercy, Gratitude, Prophets, Nations, Family","History & Stories (Qasas al-Anbiya), Divine Attributes & Signs (Asma wa Sifat)","Gratitude, Anger at Injustice","Historical story, Moral teaching context, Spiritual reminder"
2,50,"Prophets, Nations, Lessons from history, Mercy, Punishment, Power, Gratitude, Faith, Disbelief","History & Stories (Qasas al-Anbiya), Divine Attributes & Signs (Asma wa Sifat)","Gratitude, Awe","Historical story, Moral teaching context"
2,51,"Prophethood, Lessons from history, Punishment, Disbelief, Tawheed, Patience, Accountability, Reward","History & Stories (Qasas al-Anbiya), Faith (Aqeedah), Ethics & Morality (Akhlaq)","Anger at Injustice, Fear, Repentance","Historical story, Moral teaching context"
2,52,"Forgiveness, Gratitude, Mercy","Divine Attributes & Signs (Asma wa Sifat), Ethics & Morality (Akhlaq)","Gratitude, Comfort","Spiritual reminder, Moral teaching context"
2,53,"Prophethood, Revelation, Guidance, Knowledge, Prophets, Lessons from history, Moses","History & Stories (Qasas al-Anbiya), Divine Attributes & Signs (Asma wa Sifat)","Hope, Awe","Historical story, Spiritual reminder"
2,54,"Tawheed, Prophethood, Repentance, Forgiveness, Punishment, Mercy, Justice, Lessons from history","History & Stories (Qasas al-Anbiya), Faith (Aqeedah), Ethics & Morality (Akhlaq)","Repentance, Fear, Hope, Anger at Injustice","Historical story, Moral teaching context"
2,55,"Prophethood, Disbelief, Punishment, Faith, Lessons from history, Prophets, Power","History & Stories (Qasas al-Anbiya), Faith (Aqeedah)",Fear,"Historical story, Moral teaching context"
2,56,"Resurrection, Gratitude, Mercy, Reward, Accountability","Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)","Gratitude, Hope","Eschatological context, Spiritual reminder"
2,57,"Gratitude, Mercy, Power, Provision, Lessons from history, Prophethood","Divine Attributes & Signs (Asma wa Sifat), History & Stories (Qasas al-Anbiya)","Gratitude, Comfort","Historical story, Spiritual reminder"
2,58,"Forgiveness, Mercy, Reward, Humility, Guidance, Prophets, Lessons from history, Hope","History & Stories (Qasas al-Anbiya), Worship (‘Ibadah), Ethics & Morality (Akhlaq)","Hope, Gratitude, Repentance","Historical story, Moral teaching context, Worship guidance"
2,59,"Justice, Punishment, Misguidance, Disbelief, Lessons from history","History & Stories (Qasas al-Anbiya), Ethics & Morality (Akhlaq), Divine Attributes & Signs (Asma wa Sifat)",Anger at Injustice,"Historical story, Moral teaching context"
2,60,"Prophets, Nations, Lessons from history, Dua, Power, Gratitude, Society",History & Stories (Qasas al-Anbiya),"Gratitude, Hope","Madani Revelation, Historical story, Moral teaching context"
2,61,"Prophets, Nations, Lessons from history, Patience, Gratitude, Punishment, Disbelief, Dua","History & Stories (Qasas al-Anbiya), Ethics & Morality (Akhlaq)","Anger at Injustice, Fear","Madani Revelation, Historical story, Moral teaching context"
2,62,"Faith, Reward, Nations, Resurrection, Accountability, Tawheed, Hope","Faith (Aqeedah), Eschatology (Akhirah)","Hope, Comfort","Madani Revelation, Spiritual reminder, Eschatological context"
2,63,"Revelation, Nations, Lessons from history, Guidance, Fear, Accountability",History & Stories (Qasas al-Anbiya),"Awe, Fear, Determination","Madani Revelation, Historical story"
2,64,"Lessons from history, Nations, Mercy, Misguidance, Accountability",History & Stories (Qasas al-Anbiya),"Gratitude, Fear","Madani Revelation, Historical story"
2,65,"Nations, Lessons from history, Accountability, Punishment",History & Stories (Qasas al-Anbiya),Fear,Historical story
2,66,"Lessons from history, Punishment, Nations, Guidance",History & Stories (Qasas al-Anbiya),Fear,Historical story
2,67,"Prophets, Nations, Lessons from history, Prophethood, Dua, Knowledge, Guidance",History & Stories (Qasas al-Anbiya),Determination,"Madani Revelation, Historical story"
2,68,"Prophets, Nations, Lessons from history, Guidance",History & Stories (Qasas al-Anbiya),Awe,"Madani Revelation, Historical story"
2,69,"Prophets, Nations, Lessons from history",History & Stories (Qasas al-Anbiya),Joy,Historical story
2,70,"Prophets, Nations, Lessons from history, Dua, Guidance",History & Stories (Qasas al-Anbiya),Hope,"Madani Revelation, Historical story"
2,71,"Prophets, Nations, Lessons from history, Guidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
2,72,"Nations, Lessons from history, Justice, Accountability, Knowledge",History & Stories (Qasas al-Anbiya),"Anger at Injustice, Awe","Madani Revelation, Historical story"
2,73,"Resurrection, Power, Lessons from history, Nations, Prophets, Knowledge","History & Stories (Qasas al-Anbiya), Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)",Awe,"Madani Revelation, Historical story"
2,74,"Nations, Lessons from history, Fear, Misguidance, Accountability","History & Stories (Qasas al-Anbiya), Ethics & Morality (Akhlaq), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Awe, Fear","Madani Revelation, Historical story, Spiritual reminder"
2,75,"Revelation, Nations, Lessons from history, Knowledge, Misguidance, Faith, Disbelief",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
2,76,"Hypocrisy, Revelation, Accountability, Nations, Knowledge, Disbelief","History & Stories (Qasas al-Anbiya), Ethics & Morality (Akhlaq)",Anger at Injustice,"Madani Revelation, Historical story, Moral teaching context"
2,77,"Knowledge, Accountability, Hypocrisy, Power","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)","Awe, Fear","Madani Revelation, Spiritual reminder"
2,78,"Revelation, Knowledge, Misguidance, Nations, Lessons from history",History & Stories (Qasas al-Anbiya),Fear,Madani Revelation
2,79,"Revelation, Honesty, Nations, Accountability, Punishment, Misguidance, Hypocrisy","Faith (Aqeedah), Ethics & Morality (Akhlaq), History & Stories (Qasas al-Anbiya)","Anger at Injustice, Fear","Madani Revelation, Historical story, Moral teaching context"
2,80,"Hell, Punishment, Accountability, Nations, Knowledge","Faith (Aqeedah), Eschatology (Akhirah)","Fear, Anger at Injustice","Madani Revelation, Historical story, Eschatological context"
2,81,"Hell, Accountability, Punishment, Misguidance","Eschatology (Akhirah), Faith (Aqeedah)",Fear,"Madani Revelation, Eschatological context, Spiritual reminder"
2,82,"Faith, Heaven, Reward","Faith (Aqeedah), Eschatology (Akhirah)","Hope, Comfort","Madani Revelation, Eschatological context"
2,83,"Tawheed, Prayer, Zakat, Kindness, Family, Orphans, Society, Nations, Lessons from history","Faith (Aqeedah), Worship (‘Ibadah), Ethics & Morality (Akhlaq), Social Relations (Mu‘amalat), History & Stories (Qasas al-Anbiya)","Anger at Injustice, Awe","Madani Revelation, Historical story, Moral teaching context"
2,84,"Justice, Nations, Lessons from history, Society",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
2,85,"Justice, Lessons from history, Nations, Punishment, Accountability, Revelation, Hypocrisy, Society","Law (Ahkam), Social Relations (Mu‘amalat), History & Stories (Qasas al-Anbiya), Eschatology (Akhirah), Ethics & Morality (Akhlaq)","Fear, Anger at Injustice","Madani Revelation, Historical story, Moral teaching context"
2,86,"Accountability, Punishment, Hell, Resurrection, Misguidance",Eschatology (Akhirah),Fear,"Madani Revelation, Eschatological context"
2,87,"Prophethood, Revelation, Prophets, Nations, Lessons from history, Misguidance",History & Stories (Qasas al-Anbiya),Anger at Injustice,"Madani Revelation, Historical story"
2,88,"Disbelief, Misguidance, Nations, Lessons from history, Punishment, Faith",Faith (Aqeedah),Fear,Madani Revelation
2,89,"Prophethood, Revelation, Nations, Lessons from history, Knowledge, Disbelief, Punishment","Faith (Aqeedah), History & Stories (Qasas al-Anbiya)",Anger at Injustice,"Madani Revelation, Historical story"
2,90,"Prophethood, Revelation, Disbelief, Punishment, Lessons from history",Faith (Aqeedah),Anger at Injustice,Madani Revelation
2,91,"Prophethood, Revelation, Prophets, Nations, Lessons from history, Faith, Disbelief, Hypocrisy",History & Stories (Qasas al-Anbiya),Anger at Injustice,Madani Revelation
2,92,"Prophets, Nations, Lessons from history, Tawheed, Misguidance","History & Stories (Qasas al-Anbiya), Faith (Aqeedah)",Anger at Injustice,"Madani Revelation, Historical story, Spiritual reminder"
2,93,"Nations, Lessons from history, Revelation, Disbelief, Faith, Misguidance","Faith (Aqeedah), History & Stories (Qasas al-Anbiya)","Fear, Awe","Madani Revelation, Historical story"
2,94,"Resurrection, Accountability, Heaven, Faith, Disbelief, Honesty, Hypocrisy, Nations","Faith (Aqeedah), Eschatology (Akhirah)",Anger at Injustice,"Madani Revelation, Historical story, Eschatological context"
2,95,"Accountability, Knowledge, Justice, Disbelief, Resurrection","Faith (Aqeedah), Eschatology (Akhirah)",Fear,"Madani Revelation, Eschatological context"
2,96,"Accountability, Punishment, Disbelief, Nations, Knowledge",Eschatology (Akhirah),Fear,Madani Revelation
2,97,"Prophethood, Revelation, Guidance, Faith, Hope",Faith (Aqeedah),Comfort,Madani Revelation
2,98,"Tawheed, Prophethood, Disbelief, Punishment",Faith (Aqeedah),Fear,Madani Revelation
2,99,"Revelation, Prophethood, Guidance, Disbelief",Faith (Aqeedah),Awe,Madani Revelation
2,100,"Nations, Lessons from history, Faith, Disbelief, Honesty",History & Stories (Qasas al-Anbiya),Anger at Injustice,"Madani Revelation, Historical story"
2,101,"Prophethood, Revelation, Knowledge, Misguidance, Disbelief, Nations, Lessons from history",History & Stories (Qasas al-Anbiya),Anger at Injustice,"Madani Revelation, Historical story"
2,102,"Prophets, Lessons from history, Disbelief, Misguidance, Family, Accountability, Knowledge","History & Stories (Qasas al-Anbiya), Faith (Aqeedah)","Fear, Awe","Madani Revelation, Historical story, Moral teaching context"
2,103,"Faith, Reward, Knowledge","Faith (Aqeedah), Eschatology (Akhirah)",Hope,"Madani Revelation, Spiritual reminder"
2,104,"Prophethood, Faith, Disbelief, Punishment","Ethics & Morality (Akhlaq), Social Relations (Mu‘amalat)",Fear,"Madani Revelation, Moral teaching context"
2,105,"Revelation, Disbelief, Mercy, Power, Guidance",Faith (Aqeedah),Comfort,Madani Revelation
2,106,"Revelation,Power,Wisdom,Knowledge",Divine Attributes & Signs (Asma wa Sifat),"Comfort,Awe",Madani Revelation
2,107,"Tawheed, Knowledge, Power, Faith","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)","Awe, Comfort","Madani Revelation, Spiritual reminder"
2,108,"Prophethood, Prophets, Nations, Lessons from history, Faith, Disbelief, Guidance, Misguidance","Faith (Aqeedah), History & Stories (Qasas al-Anbiya)",Fear,"Madani Revelation, Moral teaching context"
2,109,"Forgiveness, Patience, Faith, Disbelief, Nations, Power",Ethics & Morality (Akhlaq),Patience,Madani Revelation
2,110,"Prayer, Zakat, Reward, Accountability, Knowledge, Kindness",Worship (‘Ibadah),Hope,Worship guidance
2,111,"Nations, Heaven, Knowledge, Faith, Disbelief, Misguidance",Faith (Aqeedah),Determination,Madani Revelation
2,112,"Tawheed, Faith, Reward, Hope, Kindness, Guidance, Accountability","Faith (Aqeedah), Ethics & Morality (Akhlaq)","Hope, Comfort","Madani Revelation, Spiritual reminder, Moral teaching context"
2,113,"Revelation, Knowledge, Nations, Lessons from history, Resurrection, Accountability, Disbelief",Faith (Aqeedah),Fear,Madani Revelation
2,114,"Justice, Prayer, Punishment, Accountability","Ethics & Morality (Akhlaq), Eschatology (Akhirah)","Anger at Injustice, Fear","Madani Revelation, Moral teaching context"
2,115,"Tawheed, Knowledge, Power, Prayer",Divine Attributes & Signs (Asma wa Sifat),Comfort,Worship guidance
2,116,"Tawheed, Power, Disbelief","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)",Awe,"Madani Revelation, Spiritual reminder"
2,117,"Tawheed, Power",Divine Attributes & Signs (Asma wa Sifat),Awe,Madani Revelation
2,118,"Revelation, Knowledge, Nations, Lessons from history, Faith, Disbelief","Faith (Aqeedah), History & Stories (Qasas al-Anbiya)",Comfort,Madani Revelation
2,119,"Prophethood, Heaven, Hell, Accountability, Guidance",Faith (Aqeedah),"Comfort, Hope, Fear",Madani Revelation
2,120,"Prophethood, Revelation, Nations, Guidance, Misguidance, Knowledge, Fear, Disbelief",Faith (Aqeedah),"Fear, Determination",Madani Revelation
2,121,"Revelation, Faith, Disbelief, Knowledge, Guidance",Faith (Aqeedah),"Hope, Fear",Madani Revelation
2,122,"Nations, Lessons from history, Gratitude",History & Stories (Qasas al-Anbiya),Gratitude,"Madani Revelation, Historical story"
2,123,"Accountability, Punishment, Fear, Resurrection, Hell",Eschatology (Akhirah),Fear,Eschological context
2,124,"Prophethood, Prophets, Lessons from history, Faith, Guidance, Justice",History & Stories (Qasas al-Anbiya),Awe,Historical story
2,125,"Prayer, Hajj, Prophets, Worship, Guidance",Worship (‘Ibadah),"Awe, Gratitude, Determination",Worship guidance
2,126,"Dua, Prophets, Faith, Disbelief, Mercy, Punishment, Heaven, Hell, Guidance, Reward","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Fear, Awe",Historical story
2,127,"Hajj, Dua, Prophets, Tawheed, Gratitude","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Hope,Historical story
2,128,"Tawheed, Dua, Guidance, Mercy, Repentance, Faith, Prayer, Hajj","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Repentance, Hope, Love of Allah, Awe",Worship guidance
2,129,"Prophethood, Revelation, Knowledge, Wisdom, Dua, Guidance, Tawheed","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Hope,Makki Revelation
2,130,"Prophethood, Faith, Guidance, Misguidance, Prophets, Lessons from history",Faith (Aqeedah),Determination,Spiritual reminder
2,131,"Tawheed, Prophethood, Revelation, Faith, Guidance, Prophets",Faith (Aqeedah),Awe,Historical story
2,132,"Tawheed, Prophethood, Faith, Guidance, Family, Prophets",Faith (Aqeedah),Determination,Spiritual reminder
2,133,"Tawheed, Prophethood, Prophets, Lessons from history, Faith",History & Stories (Qasas al-Anbiya),Determination,Historical story
2,134,"Nations, Lessons from history, Accountability, Reward, Punishment",History & Stories (Qasas al-Anbiya),Determination,Historical story
2,135,"Tawheed, Prophethood, Faith, Guidance, Misguidance, Prophets",Faith (Aqeedah),Determination,Spiritual reminder
2,136,"Tawheed, Prophethood, Revelation, Prophets, Faith, Guidance",Faith (Aqeedah),Determination,Madani Revelation
2,137,"Faith, Guidance, Misguidance, Prophethood, Mercy, Knowledge, Power",Faith (Aqeedah),Comfort,Spiritual reminder
2,138,"Tawheed, Faith, Guidance, Mercy, Worship",Faith (Aqeedah),Love of Allah,Spiritual reminder
2,139,"Tawheed, Faith, Disbelief, Accountability, Guidance, Prophethood",Faith (Aqeedah),Determination,Spiritual reminder
2,140,"Prophethood, Tawheed, Knowledge, Hypocrisy, Disbelief, Guidance, Misguidance",Faith (Aqeedah),Anger at Injustice,Moral teaching context
2,141,"Lessons from history, Accountability, Reward, Punishment, Nations",Eschatology (Akhirah),Awe,Historical story
2,142,"Tawheed, Guidance, Misguidance, Prayer, Prophethood",Worship (‘Ibadah),Determination,Madani Revelation
2,143,"Prophethood, Guidance, Faith, Justice, Mercy, Society, Hypocrisy",Faith (Aqeedah),Determination,Madani Revelation
2,144,"Prayer, Guidance, Revelation, Prophethood, Faith",Worship (‘Ibadah),Determination,Worship guidance
2,145,"Prophethood, Revelation, Guidance, Misguidance, Faith, Disbelief, Hypocrisy, Knowledge",Faith (Aqeedah),Determination,Madani Revelation
2,146,"Prophethood, Revelation, Hypocrisy, Knowledge, Disbelief",Faith (Aqeedah),Anger at Injustice,Moral teaching context
2,147,"Revelation, Prophethood, Faith, Guidance, Disbelief",Faith (Aqeedah),Determination,Madani Revelation
2,148,"Guidance, Faith, Reward, Power, Mercy",Faith (Aqeedah),Determination,Spiritual reminder
2,149,"Prayer, Guidance, Faith",Worship (‘Ibadah),Determination,Worship guidance
2,150,"Prayer, Guidance, Faith, Mercy",Worship (‘Ibadah),"Determination, Fear, Hope",Worship guidance
2,151,"Prophethood, Revelation, Knowledge, Wisdom, Guidance, Faith",Faith (Aqeedah),Gratitude,Spiritual reminder
2,152,"Tawheed, Gratitude, Dua, Faith, Mercy","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Gratitude,Spiritual reminder
2,153,"Prayer, Patience, Faith, Guidance, Hope",Worship (‘Ibadah),Hope,Worship guidance
2,154,"Faith, Resurrection, Heaven, Reward, Guidance",Eschatology (Akhirah),Comfort,Spiritual reminder
2,155,"Patience, Fear, Reward, Mercy, Guidance, Faith",Faith (Aqeedah),Patience,Spiritual reminder
2,156,"Tawheed, Patience, Faith, Gratitude, Resurrection, Accountability",Faith (Aqeedah),Patience,Spiritual reminder
2,157,"Mercy, Guidance, Faith, Reward",Faith (Aqeedah),Hope,Spiritual reminder
2,158,"Hajj, Gratitude, Guidance",Worship (‘Ibadah),Gratitude,Worship guidance
2,159,"Revelation, Guidance, Misguidance, Hypocrisy, Punishment, Disbelief",Faith (Aqeedah),Anger at Injustice,Moral teaching context
2,160,"Forgiveness, Mercy, Repentance, Guidance, Faith","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Repentance,Spiritual reminder
2,161,"Disbelief, Punishment, Hell, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
2,162,"Hell, Punishment, Accountability, Disbelief",Eschatology (Akhirah),Fear,Eschological context
2,163,"Tawheed, Mercy, Divine Attributes",Faith (Aqeedah),Awe,Spiritual reminder
2,164,"Tawheed, Guidance, Knowledge, Power, Wisdom, Faith, Gratitude",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
2,165,"Tawheed, Faith, Disbelief, Love of Allah, Punishment, Power, Fear, Guidance, Misguidance",Faith (Aqeedah),Fear,Spiritual reminder
2,166,"Punishment, Hell, Accountability, Resurrection, Lessons from history, Disbelief, Misguidance",Eschatology (Akhirah),Fear,Eschological context
2,167,"Hell, Punishment, Accountability, Misguidance, Lessons from history, Disbelief",Eschatology (Akhirah),Sadness,Eschological context
2,168,"Guidance, Misguidance, Faith, Disbelief, Mercy",Ethics & Morality (Akhlaq),Guidance,Moral teaching context
